CityCode;CountryCode;UtcOffset;TimeZoneId;Names.Name.@LanguageCode;Names.Name.$;Airports.AirportCode
MUF;ID;+09:00;Asia/Jayapura;EN;Muting;MUF
MUG;MX;-07:00;America/Mazatlan;EN;Mulege;MUG
MUH;EG;+02:00;Africa/Cairo;EN;Mersa Matruh;MUH
MUI;US;-05:00;America/New_York;EN;Fort Indiantown Gap;MUI
MUJ;ET;+03:00;Africa/Addis_Ababa;EN;Mui;MUJ
MUK;CK;-10:00;Pacific/Rarotonga;EN;Mauke Island;MUK
MUM;KE;+03:00;Africa/Nairobi;EN;Mumias;MUM
MUN;VE;-04:00;America/Caracas;EN;Maturin;MUN
MUO;US;-07:00;America/Denver;EN;Mountain Home;MUO
MUP;AU;+09:30;Australia/Darwin;EN;Mulga Park;MUP
MUQ;AU;+08:00;Australia/Perth;EN;Muccan Station;MUQ
MUR;MY;+08:00;Asia/Kuching;EN;Marudi;MUR
MUS;JP;+09:00;Asia/Tokyo;EN;Minamitorishima;MUS
MUT;US;-06:00;America/Chicago;EN;Muscatine;MUT
MUU;US;-05:00;America/New_York;EN;Mount Union;MUU
MUW;DZ;+01:00;Africa/Algiers;EN;Mascara;MUW
MUX;PK;+05:00;Asia/Karachi;EN;Multan;MUX
MUY;CG;+01:00;Africa/Brazzaville;EN;Mouyondzi;MUY
MUZ;TZ;+03:00;Africa/Dar_es_Salaam;EN;Musoma;MUZ
MVA;IS;+00:00;Atlantic/Reykjavik;EN;Myvatn;MVA
MVB;GA;+01:00;Africa/Libreville;EN;Franceville;MVB
MVC;US;-06:00;America/Chicago;EN;Monroeville;MVC
MVD;UY;-03:00;America/Montevideo;EN;Montevideo;['FMV', 'MVD', 'VDT']
MVE;US;-06:00;America/Chicago;EN;Montevideo;MVE
MVF;BR;-03:00;America/Araguaina;EN;Mossoro;MVF
MVG;GA;+01:00;Africa/Libreville;EN;Mevang;MVG
MVH;AU;+10:00;Australia/Sydney;EN;Macksville;MVH
MVI;PG;+11:00;Pacific/Bougainville;EN;Manetai;MVI
MVJ;JM;-05:00;America/Jamaica;EN;Mandeville;MVJ
MVK;AU;+09:30;Australia/Adelaide;EN;Mulka;MVK
MVL;US;-05:00;America/New_York;EN;Morrisville/Stowe;MVL
MVM;US;-07:00;America/Phoenix;EN;Kayenta;MVM
MVN;US;-06:00;America/Chicago;EN;Mount Vernon;MVN
MVO;TD;+01:00;Africa/Ndjamena;EN;Mongo;MVO
MVP;CO;-05:00;America/Bogota;EN;Mitu;MVP
MVQ;BY;+03:00;Europe/Minsk;EN;Mogilev;MVQ
MVR;CM;+01:00;Africa/Douala;EN;Maroua;MVR
MVS;BR;-03:00;America/Araguaina;EN;Mucuri;MVS
MVT;PF;-10:00;Pacific/Tahiti;EN;Mataiva;MVT
MVU;AU;+10:00;Australia/Brisbane;EN;Musgrave;MVU
MVV;FR;+01:00;Europe/Paris;EN;Megeve;MVV
MVW;US;-08:00;America/Los_Angeles;EN;Burlington/Mt Vernon;MVW
MVX;GA;+01:00;Africa/Libreville;EN;Minvoul;MVX
MVY;US;-05:00;America/New_York;EN;Martha's Vineyard;MVY
MVZ;ZW;+02:00;Africa/Harare;EN;Masvingo;MVZ
MWA;US;-06:00;America/Chicago;EN;Marion;MWA
MWB;AU;+08:00;Australia/Perth;EN;Morawa;MWB
MWD;PK;+05:00;Asia/Karachi;EN;Mianwali;MWD
MWE;SD;+02:00;Africa/Khartoum;EN;Merowe;MWE
MWF;VU;+11:00;Pacific/Efate;EN;Maewo;MWF
MWG;PG;+10:00;Pacific/Port_Moresby;EN;Marawaka;MWG
MWH;US;-08:00;America/Los_Angeles;EN;Moses Lake;['LRN', 'MWH']
MWI;PG;+10:00;Pacific/Port_Moresby;EN;Maramuni;MWI
MWJ;GY;-04:00;America/Guyana;EN;Matthews Ridge;MWJ
MWK;ID;+07:00;Asia/Pontianak;EN;Matak;MWK
MWL;US;-06:00;America/Chicago;EN;Mineral Wells;['CWO', 'MWL']
MWM;US;-06:00;America/Chicago;EN;Windom;MWM
MWN;TZ;+03:00;Africa/Dar_es_Salaam;EN;Mwadui;MWN
MWO;US;-05:00;America/New_York;EN;Middletown;MWO
