icao24;callsign;origin_country;time_position;last_contact;longitude;latitude;baro_altitude;on_ground;velocity;true_track;vertical_rate;sensors;geo_altitude;squawk;spi;position_source
4ca85b;ITY079  ;Ireland;1677688587.0;1677688587;6.5197;40.6723;10972.8;False;235.36;98.04;0.0;;10782.3;;False;0
3c135a;AHO782Z ;Germany;1677688587.0;1677688587;24.7946;34.1066;11582.4;False;197.22;289.66;0.33;;11772.9;;False;0
896482;UAE3PG  ;United Arab Emirates;1677688588.0;1677688588;16.5694;47.9803;11582.4;False;248.32;292.79;0.33;;11490.96;3266;False;0
a8d62c;N669FG  ;United States;1677688587.0;1677688587;-75.0344;40.0583;106.68;False;44.29;329.26;-0.65;;114.3;;False;0
a3f8a8;N355PC  ;United States;1677688586.0;1677688587;-88.7157;30.7597;4861.56;False;115.52;258.44;0.0;;5074.92;;False;0
484f73;KLM423  ;Kingdom of the Netherlands;1677688287.0;1677688287;19.2017;43.387;11894.82;False;243.97;132.44;0.0;;11833.86;;False;0
ac00d6;SWA2574 ;United States;1677688587.0;1677688587;-90.3477;38.6266;1798.32;False;127.01;122.6;-7.15;;1752.6;;False;0
896480;UAE69T  ;United Arab Emirates;1677688587.0;1677688588;51.048;26.7675;11887.2;False;281.96;106.32;-0.33;;12252.96;;False;0
ad8343;N97WC   ;United States;1677688488.0;1677688488;-89.044;31.9455;1203.96;False;101.17;212.96;0.0;;1219.2;;False;0
a89953;QXE2163 ;United States;1677688560.0;1677688560;-117.5238;47.6302;;True;8.23;225.0;;;;;False;0
aa1c48;FDY423  ;United States;1677688577.0;1677688586;-95.7701;33.0129;2164.08;False;80.22;83.74;2.28;;2156.46;;False;0
39a660;FHJTA   ;France;1677688588.0;1677688588;1.9409;49.021;853.44;False;95.01;184.97;0.0;;937.26;;False;0
a01bbc;RPA4266 ;United States;1677688588.0;1677688588;-75.184;39.5544;1432.56;False;129.62;275.01;-10.4;;1432.56;;False;0
aca01a;SWA2309 ;United States;1677688588.0;1677688588;-98.1256;29.6046;3550.92;False;192.11;63.78;17.56;;3649.98;;False;0
3d592e;DFGAG   ;Germany;1677688587.0;1677688587;9.9312;53.6022;76.2;False;59.87;49.88;-3.25;;236.22;7436;False;0
a168f5;JBU219  ;United States;1677688587.0;1677688588;-82.97;42.4427;2171.7;False;124.07;272.14;-1.3;;2080.26;;False;0
40688c;BAW28K  ;United Kingdom;1677688588.0;1677688588;-0.4157;51.4205;510.54;False;110.27;226.7;3.58;;640.08;;False;0
a4ec2d;UAL1600 ;United States;1677688588.0;1677688588;-88.4268;33.6267;10355.58;False;194.19;236.56;0.65;;10721.34;2103;False;0
02008b;RAM770T ;Morocco;1677688587.0;1677688587;2.2999;48.7139;129.54;False;73.41;62.0;-3.9;;236.22;;False;0
896454;UAE209  ;United Arab Emirates;1677688587.0;1677688587;23.4167;38.1461;6362.7;False;207.04;267.29;11.7;;6484.62;2020;False;0
abe0bb;SWA2429 ;United States;1677688587.0;1677688587;-86.5578;35.5591;5570.22;False;192.62;177.24;14.31;;5684.52;1336;False;0
a20e38;SWA2577 ;United States;1677688588.0;1677688588;-77.9664;40.3391;12199.62;False;179.12;268.19;0.0;;12245.34;7273;False;0
ac769b;AAL1198 ;United States;1677688587.0;1677688588;-99.6636;34.3506;8793.48;False;259.35;107.43;-5.2;;8961.12;;False;0
ac769c;N902AB  ;United States;1677688588.0;1677688588;-98.7677;34.6422;12192.0;False;222.04;320.08;-0.33;;12390.12;;False;0
aa96e2;SWA1671 ;United States;1677688547.0;1677688547;-87.8439;33.5611;5547.36;False;219.0;82.44;-9.43;;5798.82;5443;False;0
a022c4;DAL1120 ;United States;1677688587.0;1677688588;-97.2508;43.0992;10370.82;False;186.97;239.77;0.0;;10126.98;;False;0
020095;RAM765B ;Morocco;1677688587.0;1677688587;-0.2456;44.8519;11887.2;False;242.73;207.11;0.0;;11727.18;7642;False;0
ab3079;N82WC   ;United States;1677688586.0;1677688587;-85.2549;35.6278;2011.68;False;50.93;203.2;1.95;;2065.02;;False;0
a022c6;DAL804  ;United States;1677688588.0;1677688588;-74.2923;40.8948;4907.28;False;162.09;261.97;4.88;;4884.42;1741;False;0
484f3f;PHHRM   ;Kingdom of the Netherlands;1677688520.0;1677688524;-13.0726;30.6723;10911.84;False;220.52;32.13;4.23;;11239.5;;False;0
020092;RAM732M ;Morocco;1677688587.0;1677688588;1.5913;37.9077;10972.8;False;231.6;30.72;0.0;;10858.5;;False;0
89644d;UAE61   ;United Arab Emirates;1677688588.0;1677688588;20.3119;47.7446;10972.8;False;246.27;303.76;0.0;;10911.84;;False;0
add334;N990FV  ;United States;1677688588.0;1677688588;-73.4152;41.7919;8877.3;False;101.6;227.67;10.08;;8770.62;1571;False;0
896459;UAE31V  ;United Arab Emirates;1677688588.0;1677688588;18.4258;47.2551;11887.2;False;243.89;117.38;0.0;;11803.38;;False;0
a68cd7;;United States;;1677688533;;;;False;69.77;303.57;5.85;;;;False;0
a19e68;AAY641  ;United States;1677688481.0;1677688580;-92.2067;41.7741;2811.78;False;147.77;87.61;-2.93;;2720.34;;False;0
a99f37;N719TT  ;United States;1677688588.0;1677688588;-105.8469;31.8827;13106.4;False;174.45;280.88;0.0;;13327.38;;False;0
406891;BAW277  ;United Kingdom;1677688587.0;1677688588;3.6401;50.9627;10622.28;False;225.23;103.34;3.9;;10530.84;4734;False;0
ad20d1;N945MC  ;United States;1677688587.0;1677688588;-81.3421;28.5584;342.9;False;54.76;63.19;0.0;;365.76;;False;0
