Departure;Arrival;OperatingCarrier;Equipment;Status
{'AirportCode': 'BCN', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:55'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:52'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZRH', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:23'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LX', 'FlightNumber': '1955'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BCN', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:13'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'BRU', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:56'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'SN', 'FlightNumber': '3704'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BCN', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:50'}, 'Actual': {'Date': '2023-03-23', 'Time': '17:20'}, 'Terminal': {'Name': '1', 'Gate': 'C73'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '19:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '19:24'}, 'Terminal': {'Name': '1', 'Gate': 'A22'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '1129'};{'AircraftCode': '333'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BEG', 'Scheduled': {'Date': '2023-03-23', 'Time': '13:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:27'}, 'Terminal': {'Name': '2', 'Gate': 'C12'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'FRA', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:32'}, 'Terminal': {'Name': '1', 'Gate': 'Area A'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '1407'};{'AircraftCode': '32M'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BEG', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:45'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:38'}, 'Terminal': {'Name': '2'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'ZRH', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:35'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:33'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'BT', 'FlightNumber': '1417'};{'AircraftCode': '223'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BEG', 'Scheduled': {'Date': '2023-03-23', 'Time': '17:00'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:56'}, 'Terminal': {'Name': '2', 'Gate': 'A02'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MUC', 'Scheduled': {'Date': '2023-03-23', 'Time': '18:35'}, 'Actual': {'Date': '2023-03-23', 'Time': '18:27'}, 'Terminal': {'Name': '2', 'Gate': 'T02N'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'CL', 'FlightNumber': '1737'};{'AircraftCode': 'CR9'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BER', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:20'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:18'}, 'Terminal': {'Name': '1', 'Gate': 'A30'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'CGN', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:25'}, 'Terminal': {'Name': '1', 'Gate': 'B40'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'EW', 'FlightNumber': '8070'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BER', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:30'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:37'}, 'Terminal': {'Name': '1', 'Gate': 'B19'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'MUC', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:45'}, 'Terminal': {'Name': '2', 'Gate': 'G10'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'LH', 'FlightNumber': '1939'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BER', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:40'}, 'Actual': {'Date': '2023-03-23', 'Time': '14:49'}, 'Terminal': {'Name': '1', 'Gate': 'A22'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'DUS', 'Scheduled': {'Date': '2023-03-23', 'Time': '15:55'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:00'}, 'Terminal': {'Gate': 'A42'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'EW', 'FlightNumber': '8042'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
{'AirportCode': 'BER', 'Scheduled': {'Date': '2023-03-23', 'Time': '14:45'}, 'Actual': {'Date': '2023-03-23', 'Time': '15:05'}, 'Terminal': {'Name': '1', 'Gate': 'A34'}, 'Status': {'Code': 'DP', 'Description': 'Flight Departed'}};{'AirportCode': 'STR', 'Scheduled': {'Date': '2023-03-23', 'Time': '16:05'}, 'Actual': {'Date': '2023-03-23', 'Time': '16:12'}, 'Terminal': {'Name': '1'}, 'Status': {'Code': 'LD', 'Description': 'Flight Landed'}};{'AirlineID': 'EW', 'FlightNumber': '8004'};{'AircraftCode': '320'};{'Code': 'LD', 'Description': 'Flight Landed'}
