AirportCode;CityCode;CountryCode;LocationType;UtcOffset;TimeZoneId;Position.Coordinate.Latitude;Position.Coordinate.Longitude;Names.Name.@LanguageCode;Names.Name.$
JAE;JAE;PE;Airport;-05:00;America/Lima;-5.5936;-78.7736;EN;Jaen Aeropuerto De Shumba
JAF;JAF;LK;Airport;+05:30;Asia/Colombo;9.7922;80.07;EN;Jaffna Kankesanturai
JAG;JAG;PK;Airport;+05:00;Asia/Karachi;28.2833;68.4333;EN;Jacobabad
JAH;JAH;FR;Off-Line Point;+01:00;Europe/Paris;43.2833;5.6;EN;Aubagne Off-Line Point
JAI;JAI;IN;Airport;+05:30;Asia/Kolkata;26.8242;75.8122;EN;Jaipur
JAJ;ATL;US;Airport;-05:00;America/New_York;33.6333;-84.4333;EN;Atlanta Perimeter Mall H/P
JAK;JAK;HT;Airport;-05:00;America/Port-au-Prince;18.25;-72.5167;EN;Jacmel
JAL;JAL;MX;Airport;-06:00;America/Mexico_City;19.475;-96.7975;EN;Jalapa El Lencero
JAM;JAM;BG;Airport;+02:00;Europe/Sofia;42.455;26.3522;EN;Jambol Bezmer
JAN;JAN;US;Airport;-06:00;America/Chicago;32.3111;-90.0758;EN;Jackson-Evers
JAO;ATL;US;Airport;-05:00;America/New_York;34.0;-84.15;EN;Atlanta Beaver Ruin H/P
JAP;JAP;CR;Airport;-06:00;America/Costa_Rica;9.9667;-84.8333;EN;Puntarenas Chacarita
JAQ;JAQ;PG;Airport;+10:00;Pacific/Port_Moresby;-5.65;151.5;EN;Jacquinot Bay
JAR;JAR;IR;Airport;+03:30;Asia/Tehran;28.5867;53.5789;EN;Jahrom
JAS;JAS;US;Airport;-06:00;America/Chicago;30.9167;-94.0167;EN;Jasper County-Bell Fld
JAT;JAT;MH;Airport;+12:00;Pacific/Majuro;7.0;168.9833;EN;Jabot Island
JAU;JAU;PE;Airport;-05:00;America/Lima;-11.7842;-75.4731;EN;Jauja
JAV;JAV;GL;Airport;-03:00;America/Godthab;69.2428;-51.0581;EN;Ilulissat Jakobshaven
JAW;JAW;BR;Airport;-05:00;America/Rio_Branco;-7.5864;-40.5356;EN;Araripina
JAX;JAX;US;Airport;-05:00;America/New_York;30.4942;-81.6878;EN;Jacksonville Florida (US)
JBB;JBB;ID;Airport;+07:00;Asia/Pontianak;-8.2422;113.6944;EN;Jember Noto Hadinegoro
JBC;BOS;US;Airport;-05:00;America/New_York;42.35;-71.05;EN;Boston City H/P
