AirportCode;CityCode;CountryCode;LocationType;UtcOffset;TimeZoneId;Latitude;Longitude;AirportName
UIH;UIH;VN;Airport;+07:00;Asia/Ho_Chi_Minh;13.9539;109.0433;Quinhon Phu Cat
UII;UII;HN;Airport;-06:00;America/Tegucigalpa;16.1122;-86.8831;Utila
UIK;UIK;RU;Airport;+08:00;Asia/Irkutsk;58.1333;102.55;Ust-Ilimsk
UIL;UIL;US;Airport;-08:00;America/Los_Angeles;47.95;-124.5667;Forks Quillayute
UIN;UIN;US;Airport;-06:00;America/Chicago;39.9408;-91.1944;Quincy
UIO;UIO;EC;Airport;-05:00;America/Guayaquil;-0.1239;-78.3561;Quito
UIP;UIP;FR;Airport;+01:00;Europe/Paris;47.975;-4.1678;Quimper Pluguffan
UIQ;UIQ;VU;Airport;+11:00;Pacific/Efate;-17.55;168.4167;Quine Hill
UIR;UIR;AU;Airport;+10:00;Australia/Sydney;-31.5;150.5167;Quirindi
UIT;UIT;MH;Airport;+12:00;Pacific/Majuro;5.9092;169.6372;Jaluit Island
UIZ;UIZ;US;Airport;-05:00;America/New_York;42.6167;-83.05;Utica Berz-Macomb
UJE;UJE;MH;Airport;+12:00;Pacific/Majuro;8.9286;165.7631;Ujae Island
UJN;UJN;KR;Airport;+09:00;Asia/Seoul;36.7769;129.4617;Uljin
UJU;UJU;KP;Airport;+09:00;Asia/Pyongyang;40.1517;124.4983;Uiju
UKA;UKA;KE;Airport;+03:00;Africa/Nairobi;-4.2967;39.5714;Ukunda Diani
UKB;OSA;JP;Airport;+09:00;Asia/Tokyo;34.6328;135.2239;Osaka Kobe
UKG;UKG;RU;Airport;+10:00;Asia/Vladivostok;70.0106;135.6425;Ust-Kuyga
UKH;UKH;OM;Airport;+04:00;Asia/Muscat;19.3878;56.4;Mukhaizna
UKI;UKI;US;Airport;-08:00;America/Los_Angeles;39.1267;-123.2;Ukiah Municipal
UKK;UKK;KZ;Airport;+06:00;Asia/Almaty;50.0367;82.4936;Ust-Kamenogorsk
UKN;UKN;US;Airport;-06:00;America/Chicago;43.2667;-91.4833;Waukon Municipal
UKR;UKR;YE;Airport;+03:00;Asia/Aden;13.9333;45.6833;Mukeiras
UKS;UKS;UA;Airport;+02:00;Europe/Zaporozhye;44.6917;33.5758;Sevastopol Belbek
UKT;UKT;US;Airport;-05:00;America/New_York;40.4333;-75.3333;Quakertown
UKU;UKU;PG;Airport;+10:00;Pacific/Port_Moresby;-3.6833;142.4667;Nuku
UKX;UKX;RU;Airport;+08:00;Asia/Irkutsk;56.8572;105.7317;Ust-Kut
UKY;UKY;JP;Airport;+09:00;Asia/Tokyo;35.0333;135.75;Kyoto Downtown Heliport
ULA;ULA;AR;Airport;-03:00;America/Argentina/Buenos_Aires;-49.3067;-67.8028;San Julian Capitan J. D. Vazquez
ULB;ULB;VU;Airport;+11:00;Pacific/Efate;-16.3297;168.3011;Ulei
ULC;SCL;CL;Airport;-04:00;America/Santiago;-33.4833;-70.7;Santiago Los Cerrillos Apt
ULD;ULD;ZA;Airport;+02:00;Africa/Johannesburg;-28.3206;31.4167;Ulundi Prince M. Buthelezi
ULE;ULE;PG;Airport;+10:00;Pacific/Port_Moresby;-4.9667;151.3167;Sule
ULG;ULG;MN;Airport;+08:00;Asia/Ulaanbaatar;48.9933;89.9219;Olgii
ULH;ULH;SA;Airport;+03:00;Asia/Riyadh;26.4897;38.1053;Al Ula Alula International
ULI;ULI;FM;Airport;+10:00;Pacific/Chuuk;9.9667;139.6667;Ulithi
ULK;ULK;RU;Airport;+09:00;Asia/Yakutsk;60.7228;114.8219;Lensk
ULL;ULL;GB;Airport;+00:00;Europe/London;56.4167;-6.3333;Mull
ULM;ULM;US;Airport;-06:00;America/Chicago;44.3167;-94.5;New Ulm Municipal
ULN;ULN;MN;Airport;+08:00;Asia/Ulaanbaatar;47.8431;106.7667;Ulaanbaatar
ULO;ULO;MN;Airport;+08:00;Asia/Ulaanbaatar;49.9706;92.0811;Ulaangom
ULP;ULP;AU;Airport;+10:00;Australia/Brisbane;-26.6094;144.2581;Quilpie
ULQ;ULQ;CO;Airport;-05:00;America/Bogota;4.1;-76.2333;Tulua Heriberto Gil Martinez
ULS;ULS;CO;Airport;-05:00;America/Bogota;8.65;-76.75;Mulatos
ULU;ULU;UG;Airport;+03:00;Africa/Kampala;2.8058;32.2719;Gulu
